	Ssp1	Step	Hsp1	Hsp2	Sove	Pmug	Pfle	Lhsp	Hbiv	Hssp	Nyam	Ntyl	Cumu	Gmug	Gzhu	Llle	Lpil	Lkao	Ltri	Lmir	Pbig
127	0	0	100	0	0	3	4	0	0	0	0	0	0	0	0	74	21	1	2	34	0
128	0	0	39	0	0	2	33	0	0	0	0	1	0	3	3	0	0	0	0	0	0
129	0	0	82	0	0	0	3	0	0	0	0	0	0	0	0	43	56	0	0	4	0
130	0	0	0	0	0	41	1	0	0	0	1	0	0	0	0	24	0	0	96	0	0
131	0	0	772	0	0	30	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
132	0	0	1232	0	0	1	5	0	0	0	0	0	1	0	0	62	0	0	31	52	0
133	0	0	212	0	0	59	3	0	0	0	3	0	0	0	0	0	7	0	0	0	0
134	0	0	11	0	0	28	2	0	0	0	0	0	0	0	0	31	0	0	12	8	0
135	0	0	101	0	0	0	0	0	0	0	69	0	0	0	0	45	5	0	6	18	0
136	0	0	501	0	0	760	31	0	0	0	2	0	0	0	0	63	36	0	9	45	0
137	0	0	0	0	0	0	8	1	0	0	0	2	0	0	0	0	8	0	0	1	0
138	0	0	50	0	0	5166	201	0	0	0	0	0	0	0	0	329	22	2	55	88	0
139	0	0	2311	0	0	7	6	0	0	0	0	0	0	0	0	187	0	0	0	53	0
140	0	0	100	0	0	0	5	0	0	0	0	0	0	0	0	37	86	1	0	6	0
141	0	0	100	0	0	417	115	0	0	0	0	0	0	0	0	1	4	0	2	2	0
142	0	0	6100	0	0	171	3	0	0	0	0	1	0	0	0	5	3	0	0	0	0
143	0	0	20	0	0	0	0	0	0	0	2	8	4	0	0	176	246	0	35	0	0
144	0	0	95	0	0	0	6	0	0	0	1	4	1	0	0	46	23	0	70	0	0
145	0	0	183	0	0	2	0	0	0	0	0	6	4	0	0	114	50	25	0	13	0
146	0	0	107	0	0	864	242	0	0	0	0	0	0	0	0	54	38	0	5	0	0
147	0	0	1466	0	0	907	256	0	40	0	0	1	0	0	0	14	24	0	12	0	0
148	0	0	95	0	0	3	3	0	0	0	0	3	2	0	0	0	40	0	12	4	0
149	0	0	150	0	0	7	9	0	0	0	3	0	3	0	0	92	56	0	2	33	0
150	0	0	148	0	0	0	1	0	0	0	0	5	2	0	0	211	135	0	30	15	0
151	0	0	325	0	0	7	0	0	0	0	0	7	3	0	0	10	30	0	0	3	2
152	0	0	780	2	0	0	0	0	0	0	2	2	0	0	0	4	2	0	2	2	1
153	0	0	745	0	0	11	9	0	0	0	1	1	2	0	0	48	127	0	0	12	0
154	0	0	385	0	0	2960	40	0	0	0	0	9	0	0	0	75	51	0	21	3	0
155	3	0	0	0	1	3	23	0	1	0	1	2	0	0	0	13	19	0	3	13	0
156	0	0	3600	0	0	0	0	0	0	0	1	0	0	0	0	130	72	29	72	29	0
157	0	0	561	0	0	3	3	0	0	0	0	3	0	0	0	11	20	8	1	0	0
158	0	0	3214	0	0	0	3	0	0	0	0	1	0	0	0	29	68	4	29	0	4
159	0	0	290	0	0	0	1	0	0	0	0	9	0	0	0	11	30	0	4	11	0
160	0	0	511	0	0	0	0	0	0	0	0	5	0	0	0	80	51	0	0	7	0
161	0	0	188	0	0	31	6	0	0	0	12	0	0	0	0	67	150	4	9	25	0
162	0	0	236	1	0	0	0	0	0	0	0	2	0	0	0	6	14	0	0	4	0
163	0	0	57	0	0	500	154	0	0	0	0	1	0	0	0	17	0	0	0	0	0
164	0	0	64	0	0	47	43	0	0	0	0	0	0	0	0	54	5	0	25	15	0
165	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	62	62	0	10	10	0
166	0	0	365	0	0	8	1	0	0	0	0	10	0	0	0	46	406	0	105	93	0
167	0	0	237	0	0	0	0	0	0	0	0	8	0	0	0	35	63	0	14	0	0
168	0	0	486	0	0	330	59	0	0	0	0	5	0	0	0	0	35	0	0	0	0
169	0	0	9	0	0	1853	525	0	0	0	0	9	0	0	0	54	95	13	13	14	0
170	0	0	114	0	0	23	3	0	0	0	0	2	0	0	0	0	31	0	0	0	0
171	0	0	3125	0	0	900	627	0	0	0	0	2	0	0	0	25	34	2	4	31	0
172	0	0	1160	0	5	3673	179	0	0	0	0	0	0	0	0	23	12	0	0	0	0
173	0	0	2030	0	0	4	7	0	0	0	0	0	0	0	0	53	59	6	23	35	4
174	0	0	51	0	0	0	5	0	0	0	0	1	0	0	0	3	5	0	1	0	0
175	0	0	729	0	0	0	0	0	0	0	0	1	0	0	0	29	8	0	11	5	0
176	0	0	1548	0	0	0	1	0	0	0	0	2	0	0	0	36	9	0	9	9	1
177	0	0	1499	0	0	0	401	0	0	0	1	7	0	0	0	294	63	6	84	109	0
178	0	0	1722	0	0	0	0	0	0	0	0	8	0	0	0	40	45	5	0	10	0
179	0	0	100	0	0	0	1	1	0	0	0	6	0	0	0	33	42	0	4	21	0
180	0	0	1135	0	0	2	3	0	0	0	0	5	0	0	0	7	10	0	5	5	4
181	0	0	2279	0	0	0	2	0	0	0	0	0	0	0	0	17	10	0	10	14	0
182	0	0	61	0	0	179	420	0	0	0	0	0	0	0	0	70	64	0	10	61	1
183	0	0	2518	0	0	0	0	0	0	0	5	3	0	0	0	19	9	0	24	3	3
184	0	0	840	0	0	2	3	0	0	0	0	1	0	0	0	5	2	0	3	2	0
185	0	0	2354	0	0	0	10	0	0	0	1	6	0	0	0	8	4	4	17	0	0
186	0	0	4	0	0	2666	911	0	0	0	0	0	0	0	0	43	54	3	0	29	0
187	0	0	120	0	0	1	1	0	0	0	4	3	0	0	0	0	0	0	10	3	0
188	0	0	423	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
189	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	8	6	0	0	0	0
190	0	0	29	0	0	0	32	0	0	0	0	0	0	0	0	5	20	0	0	0	0
191	0	0	55	0	0	0	37	0	0	0	0	2	0	0	0	4	22	0	0	3	0
